customer_id,transaction_id,transaction_date,transaction_amount,merchant_category,,,,
CUST00000,TX000000001,3/12/2025,165352.27,Dining,,,,
CUST00000,TX000000002,2/22/2025,80855.47,Fuel,,,,
CUST00000,TX000000003,2/17/2025,79085.63,Dining,,,,
CUST00000,TX000000004,5/11/2025,6678.85,Dining,,,,
CUST00000,TX000000005,1/23/2025,14279.63,Dining,,,,
CUST00000,TX000000006,1/17/2025,25825.73,Travel,,,,
CUST00000,TX000000007,3/13/2025,37557.8,Online Shopping,,,,
CUST00000,TX000000008,5/5/2025,3061.83,Travel,,,,
CUST00000,TX000000009,1/14/2025,49100.64,Dining,,,,
CUST00000,TX000000010,4/29/2025,6823.07,Dining,,,,
CUST00000,TX000000011,6/18/2025,35724.3,Travel,,,,
CUST00000,TX000000012,4/13/2025,34438.97,Travel,,,,
CUST00000,TX000000013,5/21/2025,56193.85,Online Shopping,,,,
CUST00000,TX000000014,3/23/2025,55013.54,Entertainment,,,,
CUST00000,TX000000015,5/10/2025,28828.97,Dining,,,,
CUST00000,TX000000016,5/5/2025,10694.52,Entertainment,,,,
CUST00000,TX000000017,5/7/2025,11602.38,Dining,,,,
CUST00000,TX000000018,5/4/2025,4530.55,Travel,,,,
CUST00000,TX000000019,1/10/2025,11074.17,Online Shopping,,,,
CUST00000,TX000000020,4/16/2025,42905.21,Travel,,,,
CUST00000,TX000000021,1/14/2025,30711.98,Online Shopping,,,,
CUST00000,TX000000022,2/19/2025,36841.68,Fuel,,,,
CUST00000,TX000000023,1/20/2025,20092.23,Travel,,,,
CUST00000,TX000000024,6/15/2025,45404.92,Online Shopping,,,,
CUST00000,TX000000025,2/13/2025,46775.13,Grocery,,,,
CUST00000,TX000000026,5/14/2025,12831.13,Travel,,,,
CUST00000,TX000000027,2/7/2025,8433.73,Utilities,,,,
CUST00000,TX000000028,3/11/2025,19385.57,Travel,,,,
CUST00001,TX000000029,2/2/2025,233.74,Grocery,,,,
CUST00001,TX000000030,4/6/2025,440.48,Online Shopping,,,,
CUST00001,TX000000031,2/11/2025,511.44,Online Shopping,,,,
CUST00001,TX000000032,2/1/2025,122.61,Utilities,,,,
CUST00001,TX000000033,1/25/2025,1623.2,Fuel,,,,
CUST00001,TX000000034,6/10/2025,404.25,Fuel,,,,
CUST00001,TX000000035,3/25/2025,4378.86,Travel,,,,
CUST00002,TX000000036,3/13/2025,1204.13,Dining,,,,
CUST00002,TX000000037,6/21/2025,3023.09,Utilities,,,,
CUST00002,TX000000038,6/13/2025,1218.81,Travel,,,,
CUST00002,TX000000039,1/13/2025,1724.98,Travel,,,,
CUST00002,TX000000040,4/4/2025,13526.48,Travel,,,,
CUST00002,TX000000041,1/23/2025,2368.03,Fuel,,,,
CUST00002,TX000000042,2/3/2025,2939.01,Fuel,,,,
CUST00002,TX000000043,5/16/2025,6004.43,Dining,,,,
CUST00002,TX000000044,1/13/2025,1405.42,Dining,,,,
CUST00002,TX000000045,1/3/2025,6061.75,Travel,,,,
CUST00002,TX000000046,3/17/2025,15708.43,Utilities,,,,
CUST00002,TX000000047,4/18/2025,4504.58,Travel,,,,
CUST00002,TX000000048,1/2/2025,7409.37,Grocery,,,,
CUST00002,TX000000049,5/15/2025,5660.97,Dining,,,,
CUST00002,TX000000050,6/17/2025,10167.76,Entertainment,,,,
CUST00002,TX000000051,3/14/2025,13084.46,Travel,,,,
CUST00002,TX000000052,3/15/2025,3944.91,Entertainment,,,,
CUST00002,TX000000053,6/18/2025,3364.54,Dining,,,,
CUST00002,TX000000054,5/7/2025,2320.83,Travel,,,,
CUST00002,TX000000055,6/5/2025,1522.27,Dining,,,,
CUST00002,TX000000056,3/26/2025,14345.32,Dining,,,,
CUST00002,TX000000057,5/12/2025,8780.85,Grocery,,,,
CUST00002,TX000000058,3/26/2025,1330.23,Travel,,,,
CUST00002,TX000000059,6/17/2025,7447.53,Dining,,,,
CUST00002,TX000000060,2/13/2025,7742.07,Travel,,,,
CUST00002,TX000000061,4/11/2025,387.95,Travel,,,,
CUST00002,TX000000062,1/28/2025,5759.66,Online Shopping,,,,
CUST00002,TX000000063,4/20/2025,3965.42,Travel,,,,
CUST00002,TX000000064,2/27/2025,1327.42,Dining,,,,
CUST00002,TX000000065,2/11/2025,34609.19,Dining,,,,
CUST00002,TX000000066,4/15/2025,1707.67,Entertainment,,,,
CUST00002,TX000000067,2/20/2025,9069.61,Entertainment,,,,
CUST00002,TX000000068,1/5/2025,2771.93,Dining,,,,
CUST00002,TX000000069,2/20/2025,1828.66,Dining,,,,
CUST00002,TX000000070,4/11/2025,904.95,Travel,,,,
CUST00002,TX000000071,3/2/2025,7886.28,Travel,,,,
CUST00002,TX000000072,5/1/2025,9703.99,Dining,,,,
CUST00002,TX000000073,4/15/2025,3712.83,Dining,,,,
CUST00002,TX000000074,6/27/2025,65399.07,Entertainment,,,,
CUST00002,TX000000075,6/19/2025,2068.82,Travel,,,,
CUST00002,TX000000076,1/17/2025,1204.26,Dining,,,,
CUST00002,TX000000077,4/1/2025,6249.65,Travel,,,,
CUST00002,TX000000078,3/31/2025,14376.89,Travel,,,,
CUST00002,TX000000079,2/7/2025,9446.02,Dining,,,,
CUST00002,TX000000080,2/18/2025,986,Travel,,,,
CUST00002,TX000000081,5/6/2025,4475.53,Utilities,,,,
CUST00002,TX000000082,2/20/2025,3391.24,Travel,,,,
CUST00002,TX000000083,6/26/2025,9284.29,Entertainment,,,,
CUST00002,TX000000084,5/23/2025,25733.6,Travel,,,,
CUST00002,TX000000085,6/7/2025,2324.79,Travel,,,,
CUST00002,TX000000086,2/25/2025,4830.34,Entertainment,,,,
CUST00002,TX000000087,2/13/2025,8465.29,Travel,,,,
CUST00002,TX000000088,5/31/2025,3101.94,Utilities,,,,
CUST00003,TX000000089,5/29/2025,611.53,Travel,,,,
CUST00003,TX000000090,6/7/2025,127.52,Fuel,,,,
CUST00003,TX000000091,3/3/2025,4986.91,Utilities,,,,
CUST00003,TX000000092,2/13/2025,894.87,Grocery,,,,
CUST00003,TX000000093,6/21/2025,657.49,Dining,,,,
CUST00003,TX000000094,2/24/2025,408.9,Utilities,,,,
CUST00003,TX000000095,2/11/2025,543.21,Fuel,,,,
CUST00003,TX000000096,1/10/2025,690.14,Fuel,,,,
CUST00003,TX000000097,5/8/2025,302.61,Grocery,,,,
CUST00003,TX000000098,2/18/2025,2136.51,Grocery,,,,
CUST00003,TX000000099,3/10/2025,1571.87,Fuel,,,,
CUST00003,TX000000100,5/27/2025,700.62,Fuel,,,,
CUST00003,TX000000101,6/10/2025,1029.2,Fuel,,,,
CUST00003,TX000000102,2/12/2025,327.62,Fuel,,,,
CUST00003,TX000000103,5/2/2025,853.4,Entertainment,,,,
CUST00003,TX000000104,3/12/2025,151.03,Grocery,,,,
CUST00003,TX000000105,1/21/2025,2116.22,Grocery,,,,
CUST00003,TX000000106,1/21/2025,900.07,Fuel,,,,
CUST00003,TX000000107,2/26/2025,406.99,Utilities,,,,
CUST00003,TX000000108,5/11/2025,166.17,Dining,,,,
CUST00003,TX000000109,2/9/2025,651.57,Fuel,,,,
CUST00003,TX000000110,2/24/2025,247.51,Grocery,,,,
CUST00003,TX000000111,6/21/2025,619.1,Online Shopping,,,,
CUST00003,TX000000112,4/25/2025,467.11,Grocery,,,,
CUST00003,TX000000113,3/28/2025,1350.71,Online Shopping,,,,
CUST00003,TX000000114,5/15/2025,2738.52,Fuel,,,,
CUST00003,TX000000115,2/11/2025,837.23,Grocery,,,,
CUST00003,TX000000116,6/24/2025,1398.21,Fuel,,,,
CUST00003,TX000000117,3/3/2025,2384.05,Utilities,,,,
CUST00003,TX000000118,4/27/2025,1974.46,Online Shopping,,,,
CUST00003,TX000000119,3/22/2025,741.16,Grocery,,,,
CUST00003,TX000000120,3/10/2025,690.28,Fuel,,,,
CUST00003,TX000000121,2/26/2025,344.4,Travel,,,,
CUST00003,TX000000122,4/9/2025,1177.05,Grocery,,,,
CUST00003,TX000000123,5/9/2025,341.53,Fuel,,,,
CUST00003,TX000000124,6/1/2025,118.44,Grocery,,,,
CUST00003,TX000000125,6/12/2025,126.81,Dining,,,,
CUST00003,TX000000126,3/6/2025,1952.14,Grocery,,,,
CUST00003,TX000000127,4/19/2025,143.67,Grocery,,,,
