customer_id,customer_segment
CUST00000,High txn count / Low avg value – Daily Spender
CUST00001,High txn count / Low avg value – Daily Spender
CUST00002,High txn count / Low avg value – Daily Spender
CUST00003,Low txn count / High avg value – Premium User
CUST00004,High Groceries/Fuel ratio – Household User
CUST00005,High Groceries/Fuel ratio – Household User
CUST00006,High Groceries/Fuel ratio – Household User
CUST00007,High Travel & Dining – Lifestyle User
CUST00008,High txn count / Low avg value – Daily Spender
CUST00009,High txn count / Low avg value – Daily Spender
CUST00010,High Groceries/Fuel ratio – Household User
CUST00011,High txn count / Low avg value – Daily Spender
CUST00012,Low txn count / High avg value – Premium User
CUST00013,High Groceries/Fuel ratio – Household User
CUST00014,High Groceries/Fuel ratio – Household User
CUST00015,High Groceries/Fuel ratio – Household User
CUST00016,High txn count / Low avg value – Daily Spender
CUST00017,Low txn count / High avg value – Premium User
CUST00018,Low txn count / High avg value – Premium User
CUST00019,High txn count / Low avg value – Daily Spender
CUST00020,High txn count / Low avg value – Daily Spender
CUST00021,High Groceries/Fuel ratio – Household User
CUST00022,High txn count / Low avg value – Daily Spender
CUST00023,High txn count / Low avg value – Daily Spender
CUST00024,Low txn count / High avg value – Premium User
CUST00025,High txn count / Low avg value – Daily Spender
CUST00026,High Groceries/Fuel ratio – Household User
CUST00027,Low txn count / High avg value – Premium User
CUST00028,Low txn count / High avg value – Premium User
CUST00029,High Groceries/Fuel ratio – Household User
CUST00030,High txn count / Low avg value – Daily Spender
CUST00031,High Groceries/Fuel ratio – Household User
CUST00032,High Groceries/Fuel ratio – Household User
CUST00033,High Travel & Dining – Lifestyle User
CUST00034,Low txn count / High avg value – Premium User
CUST00035,Low txn count / High avg value – Premium User
CUST00036,High txn count / Low avg value – Daily Spender
CUST00037,High Groceries/Fuel ratio – Household User
CUST00038,High txn count / Low avg value – Daily Spender
CUST00039,Low txn count / High avg value – Premium User
CUST00040,High Groceries/Fuel ratio – Household User
CUST00041,Low txn count / High avg value – Premium User
CUST00042,High Groceries/Fuel ratio – Household User
CUST00043,Low txn count / High avg value – Premium User
CUST00044,High txn count / Low avg value – Daily Spender
CUST00045,High txn count / Low avg value – Daily Spender
CUST00046,High txn count / Low avg value – Daily Spender
CUST00047,Low txn count / High avg value – Premium User
CUST00048,Low txn count / High avg value – Premium User
CUST00049,High Groceries/Fuel ratio – Household User
CUST00050,Low Activity – Dormant User
CUST00051,High txn count / Low avg value – Daily Spender
CUST00052,Low txn count / High avg value – Premium User
CUST00053,High txn count / Low avg value – Daily Spender
CUST00054,High Groceries/Fuel ratio – Household User
CUST00055,Low txn count / High avg value – Premium User
CUST00056,High Groceries/Fuel ratio – Household User
CUST00057,High Groceries/Fuel ratio – Household User
CUST00058,High Groceries/Fuel ratio – Household User
CUST00059,High txn count / Low avg value – Daily Spender
CUST00060,High txn count / Low avg value – Daily Spender
CUST00061,High txn count / Low avg value – Daily Spender
CUST00062,High txn count / Low avg value – Daily Spender
CUST00063,High txn count / Low avg value – Daily Spender
CUST00064,High txn count / Low avg value – Daily Spender
CUST00065,Low txn count / High avg value – Premium User
CUST00066,High Groceries/Fuel ratio – Household User
CUST00067,Low txn count / High avg value – Premium User
CUST00068,High Groceries/Fuel ratio – Household User
CUST00069,High Travel & Dining – Lifestyle User
CUST00070,High txn count / Low avg value – Daily Spender
CUST00071,High Groceries/Fuel ratio – Household User
CUST00072,High Groceries/Fuel ratio – Household User
CUST00073,High Travel & Dining – Lifestyle User
CUST00074,High txn count / Low avg value – Daily Spender
CUST00075,High txn count / Low avg value – Daily Spender
CUST00076,High txn count / Low avg value – Daily Spender
CUST00077,High Groceries/Fuel ratio – Household User
CUST00078,High txn count / Low avg value – Daily Spender
CUST00079,High Groceries/Fuel ratio – Household User
CUST00080,High Travel & Dining – Lifestyle User
CUST00081,High txn count / Low avg value – Daily Spender
CUST00082,High txn count / Low avg value – Daily Spender
CUST00083,High Groceries/Fuel ratio – Household User
CUST00084,High txn count / Low avg value – Daily Spender
CUST00085,High txn count / Low avg value – Daily Spender
CUST00086,High txn count / Low avg value – Daily Spender
CUST00087,High txn count / Low avg value – Daily Spender
CUST00088,High Travel & Dining – Lifestyle User
CUST00089,Low txn count / High avg value – Premium User
CUST00090,High Groceries/Fuel ratio – Household User
CUST00091,High txn count / Low avg value – Daily Spender
CUST00092,High txn count / Low avg value – Daily Spender
CUST00093,High Groceries/Fuel ratio – Household User
CUST00094,High txn count / Low avg value – Daily Spender
CUST00095,Low txn count / High avg value – Premium User
CUST00096,Low txn count / High avg value – Premium User
CUST00097,Low txn count / High avg value – Premium User
CUST00098,High Groceries/Fuel ratio – Household User
CUST00099,High Groceries/Fuel ratio – Household User
CUST00100,High Groceries/Fuel ratio – Household User
CUST00101,High txn count / Low avg value – Daily Spender
CUST00102,High txn count / Low avg value – Daily Spender
CUST00103,Low txn count / High avg value – Premium User
CUST00104,High Travel & Dining – Lifestyle User
CUST00105,High Groceries/Fuel ratio – Household User
CUST00106,Low txn count / High avg value – Premium User
CUST00107,High txn count / Low avg value – Daily Spender
CUST00108,High Groceries/Fuel ratio – Household User
CUST00109,High Groceries/Fuel ratio – Household User
CUST00110,High txn count / Low avg value – Daily Spender
CUST00111,High Groceries/Fuel ratio – Household User
CUST00112,Low txn count / High avg value – Premium User
CUST00113,High txn count / Low avg value – Daily Spender
CUST00114,High txn count / Low avg value – Daily Spender
CUST00115,Low txn count / High avg value – Premium User
CUST00116,High Travel & Dining – Lifestyle User
CUST00117,High Groceries/Fuel ratio – Household User
CUST00118,Low txn count / High avg value – Premium User
CUST00119,Low txn count / High avg value – Premium User
CUST00120,Low txn count / High avg value – Premium User
CUST00121,High txn count / Low avg value – Daily Spender
CUST00122,High txn count / Low avg value – Daily Spender
CUST00123,High Groceries/Fuel ratio – Household User
CUST00124,High Groceries/Fuel ratio – Household User
CUST00125,Low txn count / High avg value – Premium User
CUST00126,High Travel & Dining – Lifestyle User
CUST00127,Low txn count / High avg value – Premium User
CUST00128,High Groceries/Fuel ratio – Household User
CUST00129,Low txn count / High avg value – Premium User
CUST00130,Low txn count / High avg value – Premium User
CUST00131,High Groceries/Fuel ratio – Household User
CUST00132,High Groceries/Fuel ratio – Household User
CUST00133,High txn count / Low avg value – Daily Spender
CUST00134,High txn count / Low avg value – Daily Spender
CUST00135,High txn count / Low avg value – Daily Spender
CUST00136,Low txn count / High avg value – Premium User
CUST00137,High txn count / Low avg value – Daily Spender
CUST00138,High txn count / Low avg value – Daily Spender
CUST00139,Low txn count / High avg value – Premium User
CUST00140,Low txn count / High avg value – Premium User
CUST00141,High txn count / Low avg value – Daily Spender
CUST00142,Low txn count / High avg value – Premium User
CUST00143,High txn count / Low avg value – Daily Spender
CUST00144,High txn count / Low avg value – Daily Spender
CUST00145,High Groceries/Fuel ratio – Household User
CUST00146,High txn count / Low avg value – Daily Spender
CUST00147,Low txn count / High avg value – Premium User
CUST00148,High Groceries/Fuel ratio – Household User
CUST00149,High txn count / Low avg value – Daily Spender
CUST00150,Low txn count / High avg value – Premium User
CUST00151,High Groceries/Fuel ratio – Household User
CUST00152,High Groceries/Fuel ratio – Household User
CUST00153,Low txn count / High avg value – Premium User
CUST00154,Low txn count / High avg value – Premium User
CUST00155,High Groceries/Fuel ratio – Household User
CUST00156,High txn count / Low avg value – Daily Spender
CUST00157,High txn count / Low avg value – Daily Spender
CUST00158,High Groceries/Fuel ratio – Household User
CUST00159,High txn count / Low avg value – Daily Spender
CUST00160,High Travel & Dining – Lifestyle User
CUST00161,High txn count / Low avg value – Daily Spender
CUST00162,High txn count / Low avg value – Daily Spender
CUST00163,Low txn count / High avg value – Premium User
CUST00164,High Groceries/Fuel ratio – Household User
CUST00165,Low txn count / High avg value – Premium User
CUST00166,High txn count / Low avg value – Daily Spender
CUST00167,High Groceries/Fuel ratio – Household User
CUST00168,High Groceries/Fuel ratio – Household User
CUST00169,Low txn count / High avg value – Premium User
CUST00170,High txn count / Low avg value – Daily Spender
CUST00171,High Groceries/Fuel ratio – Household User
CUST00172,Low txn count / High avg value – Premium User
CUST00173,High Groceries/Fuel ratio – Household User
CUST00174,High txn count / Low avg value – Daily Spender
CUST00175,High Groceries/Fuel ratio – Household User
CUST00176,High txn count / Low avg value – Daily Spender
CUST00177,High txn count / Low avg value – Daily Spender
CUST00178,Low txn count / High avg value – Premium User
CUST00179,Low txn count / High avg value – Premium User
CUST00180,Low Activity – Dormant User
CUST00181,High Groceries/Fuel ratio – Household User
CUST00182,Low txn count / High avg value – Premium User
CUST00183,Low txn count / High avg value – Premium User
CUST00184,High txn count / Low avg value – Daily Spender
CUST00185,High txn count / Low avg value – Daily Spender
CUST00186,Low Activity – Dormant User
CUST00187,Low txn count / High avg value – Premium User
CUST00188,Low txn count / High avg value – Premium User
CUST00189,High Groceries/Fuel ratio – Household User
CUST00190,High Groceries/Fuel ratio – Household User
CUST00191,High txn count / Low avg value – Daily Spender
CUST00192,Low txn count / High avg value – Premium User
CUST00193,High txn count / Low avg value – Daily Spender
CUST00194,High txn count / Low avg value – Daily Spender
CUST00195,High txn count / Low avg value – Daily Spender
CUST00196,High txn count / Low avg value – Daily Spender
CUST00197,Low txn count / High avg value – Premium User
CUST00198,High txn count / Low avg value – Daily Spender
CUST00199,High txn count / Low avg value – Daily Spender
CUST00200,High txn count / Low avg value – Daily Spender
CUST00201,High Groceries/Fuel ratio – Household User
CUST00202,High Groceries/Fuel ratio – Household User
CUST00203,Low txn count / High avg value – Premium User
CUST00204,High txn count / Low avg value – Daily Spender
CUST00205,High Groceries/Fuel ratio – Household User
CUST00206,High Groceries/Fuel ratio – Household User
CUST00207,High txn count / Low avg value – Daily Spender
CUST00208,High Groceries/Fuel ratio – Household User
CUST00209,Low txn count / High avg value – Premium User
CUST00210,Low txn count / High avg value – Premium User
CUST00211,High txn count / Low avg value – Daily Spender
CUST00212,High txn count / Low avg value – Daily Spender
CUST00213,High Groceries/Fuel ratio – Household User
CUST00214,High txn count / Low avg value – Daily Spender
CUST00215,High Groceries/Fuel ratio – Household User
CUST00216,High txn count / Low avg value – Daily Spender
CUST00217,High txn count / Low avg value – Daily Spender
CUST00218,High txn count / Low avg value – Daily Spender
CUST00219,Low txn count / High avg value – Premium User
CUST00220,High txn count / Low avg value – Daily Spender
CUST00221,Low txn count / High avg value – Premium User
CUST00222,High Groceries/Fuel ratio – Household User
CUST00223,High txn count / Low avg value – Daily Spender
CUST00224,High txn count / Low avg value – Daily Spender
CUST00225,High Groceries/Fuel ratio – Household User
CUST00226,High txn count / Low avg value – Daily Spender
CUST00227,High txn count / Low avg value – Daily Spender
CUST00228,Low txn count / High avg value – Premium User
CUST00229,High txn count / Low avg value – Daily Spender
CUST00230,High txn count / Low avg value – Daily Spender
CUST00231,Low txn count / High avg value – Premium User
CUST00232,Low txn count / High avg value – Premium User
CUST00233,Low txn count / High avg value – Premium User
CUST00234,High Groceries/Fuel ratio – Household User
CUST00235,High txn count / Low avg value – Daily Spender
CUST00236,High Travel & Dining – Lifestyle User
CUST00237,High Groceries/Fuel ratio – Household User
CUST00238,High txn count / Low avg value – Daily Spender
CUST00239,High Groceries/Fuel ratio – Household User
CUST00240,High txn count / Low avg value – Daily Spender
CUST00241,Low Activity – Dormant User
CUST00242,Low txn count / High avg value – Premium User
CUST00243,High txn count / Low avg value – Daily Spender
CUST00244,High Groceries/Fuel ratio – Household User
CUST00245,High txn count / Low avg value – Daily Spender
CUST00246,Low txn count / High avg value – Premium User
CUST00247,High txn count / Low avg value – Daily Spender
CUST00248,Low txn count / High avg value – Premium User
CUST00249,High txn count / Low avg value – Daily Spender
CUST00250,High txn count / Low avg value – Daily Spender
CUST00251,High txn count / Low avg value – Daily Spender
CUST00252,High txn count / Low avg value – Daily Spender
CUST00253,High txn count / Low avg value – Daily Spender
CUST00254,High Groceries/Fuel ratio – Household User
CUST00255,Low txn count / High avg value – Premium User
CUST00256,High Travel & Dining – Lifestyle User
CUST00257,High txn count / Low avg value – Daily Spender
CUST00258,Low txn count / High avg value – Premium User
CUST00259,High Groceries/Fuel ratio – Household User
CUST00260,High txn count / Low avg value – Daily Spender
CUST00261,High txn count / Low avg value – Daily Spender
CUST00262,High Groceries/Fuel ratio – Household User
CUST00263,Low txn count / High avg value – Premium User
CUST00264,High txn count / Low avg value – Daily Spender
CUST00265,High txn count / Low avg value – Daily Spender
CUST00266,High txn count / Low avg value – Daily Spender
CUST00267,High txn count / Low avg value – Daily Spender
CUST00268,High txn count / Low avg value – Daily Spender
CUST00269,High txn count / Low avg value – Daily Spender
CUST00270,Low txn count / High avg value – Premium User
CUST00271,Low Activity – Dormant User
CUST00272,Low txn count / High avg value – Premium User
CUST00273,High txn count / Low avg value – Daily Spender
CUST00274,Low txn count / High avg value – Premium User
CUST00275,Low txn count / High avg value – Premium User
CUST00276,High txn count / Low avg value – Daily Spender
CUST00277,High txn count / Low avg value – Daily Spender
CUST00278,High txn count / Low avg value – Daily Spender
CUST00279,High txn count / Low avg value – Daily Spender
CUST00280,Low txn count / High avg value – Premium User
CUST00281,High txn count / Low avg value – Daily Spender
CUST00282,High txn count / Low avg value – Daily Spender
CUST00283,High Groceries/Fuel ratio – Household User
CUST00284,Low txn count / High avg value – Premium User
CUST00285,High Groceries/Fuel ratio – Household User
CUST00286,Low txn count / High avg value – Premium User
CUST00287,Low txn count / High avg value – Premium User
CUST00288,High txn count / Low avg value – Daily Spender
CUST00289,Low txn count / High avg value – Premium User
CUST00290,High Groceries/Fuel ratio – Household User
CUST00291,High Groceries/Fuel ratio – Household User
CUST00292,High txn count / Low avg value – Daily Spender
CUST00293,High txn count / Low avg value – Daily Spender
CUST00294,High Groceries/Fuel ratio – Household User
CUST00295,High Groceries/Fuel ratio – Household User
CUST00296,High txn count / Low avg value – Daily Spender
CUST00297,High Groceries/Fuel ratio – Household User
CUST00298,High txn count / Low avg value – Daily Spender
CUST00299,High Groceries/Fuel ratio – Household User
CUST00300,High Groceries/Fuel ratio – Household User
CUST00301,Low txn count / High avg value – Premium User
CUST00302,Low txn count / High avg value – Premium User
CUST00303,High txn count / Low avg value – Daily Spender
CUST00304,High txn count / Low avg value – Daily Spender
CUST00305,Low txn count / High avg value – Premium User
CUST00306,Low txn count / High avg value – Premium User
CUST00307,High txn count / Low avg value – Daily Spender
CUST00308,High txn count / Low avg value – Daily Spender
CUST00309,High txn count / Low avg value – Daily Spender
CUST00310,Low txn count / High avg value – Premium User
CUST00311,High Groceries/Fuel ratio – Household User
CUST00312,High Groceries/Fuel ratio – Household User
CUST00313,High txn count / Low avg value – Daily Spender
CUST00314,Low txn count / High avg value – Premium User
CUST00315,High txn count / Low avg value – Daily Spender
CUST00316,High Groceries/Fuel ratio – Household User
CUST00317,High Groceries/Fuel ratio – Household User
CUST00318,High Groceries/Fuel ratio – Household User
CUST00319,High txn count / Low avg value – Daily Spender
CUST00320,Low txn count / High avg value – Premium User
CUST00321,High txn count / Low avg value – Daily Spender
CUST00322,High txn count / Low avg value – Daily Spender
CUST00323,High txn count / Low avg value – Daily Spender
CUST00324,High txn count / Low avg value – Daily Spender
CUST00325,High txn count / Low avg value – Daily Spender
CUST00326,Low txn count / High avg value – Premium User
CUST00327,High txn count / Low avg value – Daily Spender
CUST00328,Low txn count / High avg value – Premium User
CUST00329,High Groceries/Fuel ratio – Household User
CUST00330,High txn count / Low avg value – Daily Spender
CUST00331,High txn count / Low avg value – Daily Spender
CUST00332,High Groceries/Fuel ratio – Household User
CUST00333,High Groceries/Fuel ratio – Household User
CUST00334,High Groceries/Fuel ratio – Household User
CUST00335,High Groceries/Fuel ratio – Household User
CUST00336,Low Activity – Dormant User
CUST00337,High txn count / Low avg value – Daily Spender
CUST00338,Low txn count / High avg value – Premium User
CUST00339,High Groceries/Fuel ratio – Household User
CUST00340,Low txn count / High avg value – Premium User
CUST00341,Low txn count / High avg value – Premium User
CUST00342,High Groceries/Fuel ratio – Household User
